,hicat_label
935,connective_tissue
936,connective_tissue
937,connective_tissue
938,connective_tissue
939,connective_tissue
940,connective_tissue
941,connective_tissue
942,connective_tissue
943,connective_tissue
944,connective_tissue
945,connective_tissue
946,connective_tissue
947,connective_tissue
948,connective_tissue
949,connective_tissue
950,connective_tissue
951,connective_tissue
952,connective_tissue
953,connective_tissue
954,connective_tissue
955,connective_tissue
956,connective_tissue
957,connective_tissue
958,connective_tissue
959,connective_tissue
960,connective_tissue
961,connective_tissue
962,connective_tissue
963,connective_tissue
964,connective_tissue
965,connective_tissue
966,connective_tissue
967,connective_tissue
968,connective_tissue
969,connective_tissue
970,connective_tissue
971,connective_tissue
972,connective_tissue
973,connective_tissue
974,connective_tissue
975,connective_tissue
976,connective_tissue
977,connective_tissue
978,connective_tissue
979,connective_tissue
980,connective_tissue
981,connective_tissue
982,connective_tissue
983,connective_tissue
984,connective_tissue
985,connective_tissue
986,connective_tissue
987,connective_tissue
988,connective_tissue
989,connective_tissue
990,connective_tissue
991,connective_tissue
992,connective_tissue
993,connective_tissue
994,connective_tissue
995,connective_tissue
996,connective_tissue
997,connective_tissue
998,connective_tissue
999,connective_tissue
1000,connective_tissue
1001,connective_tissue
1002,connective_tissue
1003,connective_tissue
1004,connective_tissue
1005,connective_tissue
1006,connective_tissue
1007,connective_tissue
1008,connective_tissue
1009,connective_tissue
1010,connective_tissue
1011,connective_tissue
1012,connective_tissue
1013,connective_tissue
1014,connective_tissue
1015,connective_tissue
1016,connective_tissue
1017,connective_tissue
1018,connective_tissue
1019,connective_tissue
1020,connective_tissue
1021,connective_tissue
1022,connective_tissue
1023,connective_tissue
1024,connective_tissue
1025,connective_tissue
1026,connective_tissue
1027,connective_tissue
1028,connective_tissue
1029,connective_tissue
1030,connective_tissue
1031,connective_tissue
1032,connective_tissue
1033,connective_tissue
1034,connective_tissue
1035,connective_tissue
1036,connective_tissue
1037,connective_tissue
1038,connective_tissue
1039,connective_tissue
1040,connective_tissue
1041,connective_tissue
1042,connective_tissue
1043,connective_tissue
1044,connective_tissue
1045,connective_tissue
1046,connective_tissue
1047,connective_tissue
1048,connective_tissue
1049,breast_glands
1050,breast_glands
1051,breast_glands
1052,breast_glands
1053,breast_glands
1054,breast_glands
1055,breast_glands
1056,breast_glands
1057,connective_tissue
1058,connective_tissue
1059,connective_tissue
1060,connective_tissue
1061,connective_tissue
1062,connective_tissue
1063,connective_tissue
1064,connective_tissue
1065,connective_tissue
1066,connective_tissue
1067,connective_tissue
1068,connective_tissue
1069,connective_tissue
1070,connective_tissue
1071,connective_tissue
1072,connective_tissue
1073,connective_tissue
1074,connective_tissue
1075,connective_tissue
1076,connective_tissue
1077,connective_tissue
1078,connective_tissue
1079,connective_tissue
1080,connective_tissue
1081,connective_tissue
1082,connective_tissue
1083,connective_tissue
1084,connective_tissue
1085,connective_tissue
1086,connective_tissue
1087,connective_tissue
1088,connective_tissue
1089,connective_tissue
1090,connective_tissue
1091,connective_tissue
1092,connective_tissue
1093,connective_tissue
1094,connective_tissue
1095,connective_tissue
1096,connective_tissue
1097,connective_tissue
1098,connective_tissue
1099,connective_tissue
1100,connective_tissue
1101,connective_tissue
1102,connective_tissue
1103,connective_tissue
1104,connective_tissue
1105,connective_tissue
1106,connective_tissue
1107,connective_tissue
1108,connective_tissue
1109,connective_tissue
1110,connective_tissue
1111,connective_tissue
1112,connective_tissue
1113,connective_tissue
1114,connective_tissue
1115,connective_tissue
1116,connective_tissue
1117,connective_tissue
1118,connective_tissue
1119,connective_tissue
1120,connective_tissue
1121,connective_tissue
1122,connective_tissue
1123,connective_tissue
1124,connective_tissue
1125,connective_tissue
1126,connective_tissue
1127,connective_tissue
1128,connective_tissue
1129,connective_tissue
1130,connective_tissue
1131,connective_tissue
1132,connective_tissue
1133,connective_tissue
1134,connective_tissue
1135,connective_tissue
1136,connective_tissue
1137,connective_tissue
1138,connective_tissue
1139,connective_tissue
1140,connective_tissue
1141,connective_tissue
1142,connective_tissue
1143,connective_tissue
1144,connective_tissue
1145,connective_tissue
1146,connective_tissue
1147,connective_tissue
1148,connective_tissue
1149,connective_tissue
1150,connective_tissue
1151,connective_tissue
1152,connective_tissue
1153,connective_tissue
1154,connective_tissue
1155,connective_tissue
1156,connective_tissue
1157,connective_tissue
1158,connective_tissue
1159,connective_tissue
1160,connective_tissue
1161,connective_tissue
1162,connective_tissue
1163,connective_tissue
1164,connective_tissue
1165,connective_tissue
1166,connective_tissue
1167,connective_tissue
1168,connective_tissue
1169,connective_tissue
1170,connective_tissue
1171,connective_tissue
1172,connective_tissue
1173,connective_tissue
1174,connective_tissue
1175,connective_tissue
1176,connective_tissue
1177,connective_tissue
1178,connective_tissue
1179,connective_tissue
1180,connective_tissue
1181,connective_tissue
1182,connective_tissue
1183,connective_tissue
1184,connective_tissue
1185,connective_tissue
1186,breast_glands
1187,breast_glands
1188,breast_glands
1189,breast_glands
1190,breast_glands
1191,breast_glands
1192,breast_glands
1193,breast_glands
1194,connective_tissue
1195,connective_tissue
1196,connective_tissue
1197,connective_tissue
1198,connective_tissue
1199,connective_tissue
1200,connective_tissue
1201,connective_tissue
1202,connective_tissue
1203,connective_tissue
1204,connective_tissue
1205,connective_tissue
1206,connective_tissue
1207,connective_tissue
1208,connective_tissue
1209,connective_tissue
1210,connective_tissue
1211,connective_tissue
1212,connective_tissue
1213,connective_tissue
1214,connective_tissue
1215,connective_tissue
1216,connective_tissue
1217,connective_tissue
1218,connective_tissue
1219,connective_tissue
1220,connective_tissue
1221,connective_tissue
1222,connective_tissue
1223,connective_tissue
1224,breast_glands
1225,breast_glands
1226,connective_tissue
1227,connective_tissue
1228,connective_tissue
1229,connective_tissue
1230,connective_tissue
1231,connective_tissue
1232,connective_tissue
1233,connective_tissue
1234,connective_tissue
1235,connective_tissue
1236,connective_tissue
1237,connective_tissue
1238,connective_tissue
1239,connective_tissue
1240,connective_tissue
1241,connective_tissue
1242,connective_tissue
1243,connective_tissue
1244,connective_tissue
1245,connective_tissue
1246,connective_tissue
1247,connective_tissue
1248,connective_tissue
1249,connective_tissue
1250,connective_tissue
1251,connective_tissue
1252,connective_tissue
1253,connective_tissue
1254,connective_tissue
1255,connective_tissue
1256,connective_tissue
1257,connective_tissue
1258,connective_tissue
1259,connective_tissue
1260,connective_tissue
1261,connective_tissue
1262,connective_tissue
1263,connective_tissue
1264,connective_tissue
1265,connective_tissue
1266,connective_tissue
1267,connective_tissue
1268,connective_tissue
1269,connective_tissue
1270,connective_tissue
1271,connective_tissue
1272,connective_tissue
1273,connective_tissue
1274,connective_tissue
1275,connective_tissue
1276,connective_tissue
1277,connective_tissue
1278,connective_tissue
1279,connective_tissue
1280,connective_tissue
1281,connective_tissue
1282,connective_tissue
1283,connective_tissue
1284,connective_tissue
1285,connective_tissue
1286,connective_tissue
1287,connective_tissue
1288,connective_tissue
1289,connective_tissue
1290,connective_tissue
1291,connective_tissue
1292,connective_tissue
1293,connective_tissue
1294,connective_tissue
1295,connective_tissue
1296,connective_tissue
1297,connective_tissue
1298,connective_tissue
1299,connective_tissue
1300,connective_tissue
1301,connective_tissue
1302,connective_tissue
1303,connective_tissue
1304,connective_tissue
1305,connective_tissue
1306,connective_tissue
1307,connective_tissue
1308,connective_tissue
1309,connective_tissue
1310,connective_tissue
1311,connective_tissue
1312,connective_tissue
1313,connective_tissue
1314,connective_tissue
1315,connective_tissue
1316,connective_tissue
1317,connective_tissue
1318,connective_tissue
1319,connective_tissue
1320,connective_tissue
1321,connective_tissue
1322,connective_tissue
1323,connective_tissue
1324,connective_tissue
1325,connective_tissue
1326,connective_tissue
1327,connective_tissue
1328,connective_tissue
1329,connective_tissue
1330,connective_tissue
1331,connective_tissue
1332,connective_tissue
1333,connective_tissue
1334,breast_glands
1335,breast_glands
1336,breast_glands
1337,breast_glands
1338,breast_glands
1339,breast_glands
1340,breast_glands
1341,connective_tissue
1342,connective_tissue
1343,connective_tissue
1344,connective_tissue
1345,connective_tissue
1346,connective_tissue
1347,connective_tissue
1348,connective_tissue
1349,connective_tissue
1350,connective_tissue
1351,connective_tissue
1352,connective_tissue
1353,connective_tissue
1354,connective_tissue
1355,connective_tissue
1356,connective_tissue
1357,connective_tissue
1358,connective_tissue
1359,connective_tissue
1360,connective_tissue
1361,connective_tissue
1362,connective_tissue
1363,connective_tissue
1364,connective_tissue
1365,connective_tissue
1366,connective_tissue
1367,connective_tissue
1368,connective_tissue
1369,connective_tissue
1370,connective_tissue
1371,connective_tissue
1372,breast_glands
1373,breast_glands
1374,connective_tissue
1375,connective_tissue
1376,connective_tissue
1377,connective_tissue
1378,connective_tissue
1379,connective_tissue
1380,connective_tissue
1381,connective_tissue
1382,connective_tissue
1383,connective_tissue
1384,connective_tissue
1385,connective_tissue
1386,connective_tissue
1387,connective_tissue
1388,connective_tissue
1389,connective_tissue
1390,connective_tissue
1391,connective_tissue
1392,connective_tissue
1393,connective_tissue
1394,connective_tissue
1395,connective_tissue
1396,connective_tissue
1397,connective_tissue
1398,connective_tissue
1399,connective_tissue
1400,connective_tissue
1401,connective_tissue
1402,connective_tissue
1403,connective_tissue
1404,connective_tissue
1405,connective_tissue
1406,connective_tissue
1407,connective_tissue
1408,connective_tissue
1409,connective_tissue
1410,connective_tissue
1411,connective_tissue
1412,connective_tissue
1413,connective_tissue
1414,connective_tissue
1415,connective_tissue
1416,connective_tissue
1417,connective_tissue
1418,connective_tissue
1419,connective_tissue
1420,connective_tissue
1421,connective_tissue
1422,connective_tissue
1423,connective_tissue
1424,connective_tissue
1425,connective_tissue
1426,connective_tissue
1427,connective_tissue
1428,connective_tissue
1429,connective_tissue
1430,connective_tissue
1431,connective_tissue
1432,connective_tissue
1433,connective_tissue
1434,connective_tissue
1435,connective_tissue
1436,connective_tissue
1437,connective_tissue
1438,connective_tissue
1439,connective_tissue
1440,connective_tissue
1441,connective_tissue
1442,connective_tissue
1443,connective_tissue
1444,connective_tissue
1445,connective_tissue
1446,connective_tissue
1447,connective_tissue
1448,connective_tissue
1449,connective_tissue
1450,connective_tissue
1451,connective_tissue
1452,connective_tissue
1453,connective_tissue
1454,connective_tissue
1455,connective_tissue
1456,connective_tissue
1457,connective_tissue
1458,connective_tissue
1459,connective_tissue
1460,connective_tissue
1461,connective_tissue
1462,connective_tissue
1463,connective_tissue
1464,connective_tissue
1465,connective_tissue
1466,connective_tissue
1467,connective_tissue
1468,connective_tissue
1469,connective_tissue
1470,connective_tissue
1471,connective_tissue
1472,connective_tissue
1473,connective_tissue
1474,connective_tissue
1475,connective_tissue
1476,connective_tissue
1477,adipose_tissue
1478,connective_tissue
1479,connective_tissue
1480,connective_tissue
1481,connective_tissue
1482,connective_tissue
1483,connective_tissue
1484,connective_tissue
1485,connective_tissue
1486,connective_tissue
1487,connective_tissue
1488,connective_tissue
1489,connective_tissue
1490,connective_tissue
1491,connective_tissue
1492,connective_tissue
1493,connective_tissue
1494,connective_tissue
1495,connective_tissue
1496,connective_tissue
1497,connective_tissue
1498,connective_tissue
1499,connective_tissue
1500,connective_tissue
1501,connective_tissue
1502,connective_tissue
1503,connective_tissue
1504,connective_tissue
1505,connective_tissue
1506,connective_tissue
1507,connective_tissue
